code_module,code_presentation,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,Average_Assesment_Score,Total_no_of_material_use
AAA,2013J,M,Ireland,HE Qualification,,35-55,0,60,N,Pass,69.6,1939.0
AAA,2013J,F,Ireland,A Level or Equivalent,,35-55,0,60,N,Pass,61.4,1782.0
AAA,2013J,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,Pass,80.4,6318.0
AAA,2013J,M,North Region,HE Qualification,,35-55,0,60,N,Pass,82.4,4447.0
AAA,2013J,M,North Western Region,HE Qualification,70-80%,35-55,0,60,N,Pass,78.2,2016.0
AAA,2013J,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,180,N,Fail,37.6,138.0
AAA,2013J,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,Pass,53.4,2012.0
AAA,2013J,F,South West Region,A Level or Equivalent,80-90%,35-55,0,120,N,Withdrawn,76.0,487.0
AAA,2013J,F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,54.0,1975.0
AAA,2013J,M,London Region,A Level or Equivalent,10-20,0-35,0,180,N,Pass,49.0,964.0
AAA,2013J,M,South West Region,HE Qualification,80-90%,35-55,0,170,N,Pass,59.8,1312.0
AAA,2013J,M,London Region,HE Qualification,10-20,0-35,0,120,N,Fail,74.0,427.0
AAA,2013J,M,Scotland,HE Qualification,30-40%,35-55,0,60,N,Pass,76.0,2136.0
AAA,2013J,M,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Distinction,89.2,8562.0
AAA,2013J,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,120,N,Withdrawn,76.0,1434.0
AAA,2013J,M,Scotland,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,79.4,1541.0
AAA,2013J,F,South West Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass,68.4,3219.0
AAA,2013J,M,London Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn,50.0,1905.0
AAA,2013J,M,London Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,54.4,534.0
AAA,2013J,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn,66.66666666666667,1418.0
AAA,2013J,M,South West Region,HE Qualification,80-90%,35-55,0,60,N,Pass,72.2,1665.0
AAA,2013J,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,Y,Fail,56.66666666666666,333.0
AAA,2013J,F,London Region,A Level or Equivalent,10-20,35-55,0,60,N,Distinction,83.6,2953.0
AAA,2013J,M,Ireland,HE Qualification,,0-35,0,180,N,Fail,62.6,1205.0
AAA,2013J,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,72.4,227.0
AAA,2013J,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,61.8,445.0
AAA,2013J,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,66.0,614.0
AAA,2013J,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,78.0,1215.0
AAA,2013J,M,London Region,A Level or Equivalent,40-50%,0-35,0,240,N,Pass,67.75,1839.0
AAA,2013J,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,240,N,Withdrawn,65.0,190.0
AAA,2013J,M,Scotland,Post Graduate Qualification,90-100%,0-35,0,60,N,Pass,78.0,732.0
AAA,2013J,M,South Region,HE Qualification,90-100%,55<=,0,60,N,Pass,79.2,1935.0
AAA,2013J,M,London Region,HE Qualification,80-90%,0-35,0,80,N,Pass,75.8,321.0
AAA,2013J,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,58.4,427.0
AAA,2013J,M,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,78.8,1892.0
AAA,2013J,F,East Midlands Region,HE Qualification,60-70%,35-55,0,60,N,Fail,58.6,1829.0
AAA,2013J,M,London Region,HE Qualification,20-30%,35-55,0,60,N,Pass,77.4,658.0
AAA,2013J,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,55.6,1174.0
AAA,2013J,M,North Western Region,Lower Than A Level,20-30%,0-35,0,90,N,Pass,78.4,1969.0
AAA,2013J,M,Wales,Lower Than A Level,20-30%,35-55,0,60,N,Pass,71.4,2580.0
AAA,2013J,M,North Western Region,HE Qualification,10-20,0-35,0,120,N,Pass,76.8,1481.0
AAA,2013J,F,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,58.8,844.0
AAA,2013J,F,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,64.8,4963.0
AAA,2013J,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,N,Withdrawn,57.5,426.0
AAA,2013J,M,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,71.0,1066.0
AAA,2013J,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,76.6,2407.0
AAA,2013J,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,90,N,Fail,74.6,3210.0
AAA,2013J,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,180,N,Withdrawn,43.0,188.0
AAA,2013J,M,Scotland,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,76.4,3348.0
AAA,2013J,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn,67.66666666666667,2016.0
AAA,2013J,M,London Region,Lower Than A Level,40-50%,0-35,0,60,N,Distinction,79.2,1183.0
AAA,2013J,F,Scotland,A Level or Equivalent,30-40%,0-35,0,150,N,Pass,73.4,492.0
AAA,2013J,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Fail,55.4,130.0
AAA,2013J,M,North Western Region,HE Qualification,30-40%,0-35,0,60,N,Fail,0.0,0.0
AAA,2013J,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,60.6,1961.0
AAA,2013J,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,71.0,1046.0
AAA,2013J,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,67.8,483.0
AAA,2013J,M,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,70.4,1740.0
AAA,2013J,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,75.0,652.0
AAA,2013J,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction,83.6,5231.0
AAA,2013J,F,South East Region,A Level or Equivalent,90-100%,35-55,0,180,N,Withdrawn,0.0,0.0
AAA,2013J,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass,46.75,187.0
AAA,2013J,M,South East Region,HE Qualification,90-100%,55<=,0,60,N,Pass,78.2,1775.0
AAA,2013J,M,South East Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,52.8,865.0
AAA,2013J,M,South East Region,A Level or Equivalent,40-50%,35-55,0,240,N,Fail,50.2,709.0
AAA,2013J,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,Distinction,86.8,2152.0
AAA,2013J,F,South East Region,HE Qualification,80-90%,0-35,0,60,N,Pass,80.8,514.0
AAA,2013J,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,78.8,1997.0
AAA,2013J,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,Fail,58.66666666666666,513.0
AAA,2013J,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,Fail,64.0,146.0
AAA,2013J,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,Y,Pass,78.0,1277.0
AAA,2013J,F,Wales,Lower Than A Level,80-90%,0-35,0,120,N,Withdrawn,0.0,0.0
AAA,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,35-55,0,120,N,Pass,58.2,987.0
AAA,2013J,M,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,82.0,1220.0
AAA,2013J,F,London Region,A Level or Equivalent,10-20,0-35,0,60,N,Pass,62.6,2742.0
AAA,2013J,F,East Midlands Region,HE Qualification,10-20,0-35,0,60,N,Pass,81.2,1081.0
AAA,2013J,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,60.0,1476.0
AAA,2013J,M,South West Region,A Level or Equivalent,60-70%,55<=,0,120,N,Pass,59.2,2230.0
AAA,2013J,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,Distinction,87.8,12882.0
AAA,2013J,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,61.8,281.0
AAA,2013J,F,East Anglian Region,HE Qualification,80-90%,0-35,0,120,N,Pass,66.6,1281.0
AAA,2013J,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,78.4,6589.0
AAA,2013J,M,South Region,HE Qualification,90-100%,55<=,0,60,N,Pass,80.4,10083.0
AAA,2013J,M,East Anglian Region,HE Qualification,40-50%,35-55,0,60,N,Pass,80.4,1901.0
AAA,2013J,F,South West Region,A Level or Equivalent,10-20,35-55,0,60,N,Pass,57.6,1961.0
AAA,2013J,M,South East Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,61.2,133.0
AAA,2013J,F,South Region,HE Qualification,90-100%,35-55,0,60,N,Withdrawn,84.0,2376.0
AAA,2013J,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,74.4,1655.0
AAA,2013J,M,Scotland,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,65.8,301.0
AAA,2013J,M,Scotland,HE Qualification,80-90%,0-35,0,60,N,Pass,74.4,648.0
AAA,2013J,F,London Region,A Level or Equivalent,50-60%,0-35,0,150,N,Fail,53.0,332.0
AAA,2013J,F,South West Region,A Level or Equivalent,0-10%,0-35,0,240,Y,Withdrawn,36.0,303.0
AAA,2013J,F,South East Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn,86.33333333333331,2286.0
AAA,2013J,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,68.2,1316.0
AAA,2013J,M,North Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,49.8,333.0
AAA,2013J,M,East Anglian Region,Lower Than A Level,40-50%,0-35,0,180,N,Fail,64.2,201.0
AAA,2013J,F,West Midlands Region,HE Qualification,70-80%,0-35,0,60,N,Withdrawn,75.0,880.0
AAA,2013J,M,Scotland,Lower Than A Level,50-60%,55<=,0,60,N,Pass,77.2,1950.0
AAA,2013J,M,Yorkshire Region,HE Qualification,0-10%,0-35,0,60,N,Pass,60.4,838.0
AAA,2013J,M,Ireland,HE Qualification,70-80%,35-55,0,120,N,Pass,78.4,3644.0
AAA,2013J,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail,49.2,65.0
AAA,2013J,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,180,Y,Pass,78.0,547.0
AAA,2013J,M,Yorkshire Region,A Level or Equivalent,30-40%,0-35,0,60,N,Distinction,80.4,2219.0
AAA,2013J,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,120,N,Pass,82.4,569.0
AAA,2013J,F,Scotland,HE Qualification,50-60%,35-55,0,120,N,Fail,0.0,0.0
AAA,2013J,M,North Western Region,HE Qualification,80-90%,35-55,0,60,N,Pass,73.8,761.0
AAA,2013J,M,South Region,HE Qualification,90-100%,35-55,0,120,N,Withdrawn,0.0,0.0
AAA,2013J,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail,57.0,166.0
AAA,2013J,M,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Fail,69.0,821.0
AAA,2013J,F,London Region,A Level or Equivalent,0-10%,0-35,0,120,N,Pass,56.4,891.0
AAA,2013J,M,East Anglian Region,Lower Than A Level,10-20,35-55,0,60,N,Pass,70.0,2129.0
AAA,2013J,M,South West Region,HE Qualification,40-50%,0-35,0,60,N,Pass,76.8,1465.0
AAA,2013J,F,South West Region,A Level or Equivalent,50-60%,0-35,0,120,Y,Pass,50.4,437.0
AAA,2013J,M,Wales,HE Qualification,50-60%,35-55,0,120,N,Fail,55.6,292.0
AAA,2013J,M,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,180,N,Pass,66.4,677.0
AAA,2013J,M,North Region,HE Qualification,,0-35,0,60,N,Distinction,87.0,2342.0
AAA,2013J,F,South Region,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,72.8,2333.0
AAA,2013J,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,67.8,1062.0
AAA,2013J,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,75.6,543.0
AAA,2013J,M,Ireland,Lower Than A Level,,0-35,0,120,N,Pass,67.8,164.0
AAA,2013J,M,Yorkshire Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass,68.0,910.0
AAA,2013J,F,London Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,63.8,671.0
AAA,2013J,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,60.6,875.0
AAA,2013J,M,Scotland,A Level or Equivalent,0-10%,0-35,0,90,N,Withdrawn,69.66666666666667,639.0
AAA,2013J,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,Fail,45.0,363.0
AAA,2013J,F,North Western Region,A Level or Equivalent,50-60%,35-55,0,120,N,Pass,68.4,3003.0
AAA,2013J,M,North Western Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,74.2,876.0
AAA,2013J,M,Yorkshire Region,HE Qualification,50-60%,0-35,0,180,N,Pass,61.4,996.0
AAA,2013J,M,Yorkshire Region,Lower Than A Level,90-100%,0-35,0,240,N,Fail,46.4,1183.0
AAA,2013J,F,South East Region,Lower Than A Level,80-90%,0-35,0,60,N,Pass,65.0,955.0
AAA,2013J,M,South West Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,72.6,1445.0
AAA,2013J,M,Wales,Lower Than A Level,20-30%,35-55,0,120,N,Pass,43.8,509.0
AAA,2013J,M,North Region,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,77.2,1388.0
AAA,2013J,M,Scotland,A Level or Equivalent,90-100%,0-35,0,240,Y,Withdrawn,0.0,0.0
AAA,2013J,M,Yorkshire Region,A Level or Equivalent,50-60%,0-35,0,120,N,Pass,76.4,807.0
AAA,2013J,M,West Midlands Region,HE Qualification,0-10%,35-55,0,90,N,Withdrawn,59.66666666666666,1359.0
AAA,2013J,M,Scotland,A Level or Equivalent,40-50%,0-35,0,60,Y,Fail,76.0,342.0
AAA,2013J,F,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,58.4,411.0
AAA,2013J,F,South East Region,A Level or Equivalent,70-80%,0-35,0,150,N,Pass,59.8,646.0
AAA,2013J,M,London Region,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,70.6,739.0
AAA,2013J,M,South West Region,HE Qualification,80-90%,0-35,0,120,N,Withdrawn,40.5,1009.0
AAA,2013J,M,London Region,HE Qualification,30-40%,0-35,0,60,N,Distinction,87.6,1241.0
AAA,2013J,M,South East Region,HE Qualification,90-100%,35-55,0,60,N,Withdrawn,86.0,400.0
AAA,2013J,F,South West Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,70.6,2832.0
AAA,2013J,F,North Region,A Level or Equivalent,80-90%,0-35,0,60,N,Fail,0.0,0.0
AAA,2013J,M,South East Region,HE Qualification,80-90%,0-35,0,120,N,Pass,66.6,901.0
AAA,2013J,M,North Western Region,HE Qualification,80-90%,35-55,0,60,N,Pass,73.0,998.0
AAA,2013J,M,London Region,A Level or Equivalent,40-50%,0-35,0,120,N,Pass,71.8,1129.0
AAA,2013J,M,South East Region,HE Qualification,90-100%,0-35,0,120,N,Pass,72.4,521.0
AAA,2013J,M,North Western Region,HE Qualification,40-50%,0-35,0,120,N,Pass,81.0,2328.0
AAA,2013J,M,South East Region,HE Qualification,60-70%,0-35,0,60,N,Pass,72.0,910.0
AAA,2013J,M,West Midlands Region,HE Qualification,80-90%,0-35,0,120,N,Fail,59.2,224.0
AAA,2013J,F,Scotland,HE Qualification,30-40%,0-35,0,60,N,Withdrawn,81.5,488.0
AAA,2013J,M,West Midlands Region,HE Qualification,70-80%,0-35,0,120,N,Pass,73.2,780.0
AAA,2013J,M,Ireland,HE Qualification,90-100%,0-35,0,120,N,Pass,71.4,1271.0
AAA,2013J,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,120,N,Fail,40.0,194.0
AAA,2013J,M,South West Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,82.8,7067.0
AAA,2013J,M,South Region,Post Graduate Qualification,90-100%,35-55,0,60,N,Pass,76.2,605.0
AAA,2013J,M,North Region,HE Qualification,,55<=,0,60,N,Withdrawn,63.0,955.0
AAA,2013J,M,Scotland,Post Graduate Qualification,90-100%,35-55,0,60,N,Fail,66.0,406.0
AAA,2013J,M,South Region,HE Qualification,90-100%,55<=,0,120,N,Pass,66.0,3064.0
AAA,2013J,M,West Midlands Region,A Level or Equivalent,60-70%,55<=,0,120,N,Distinction,80.8,5680.0
AAA,2013J,F,South Region,Lower Than A Level,50-60%,55<=,0,120,N,Withdrawn,0.0,0.0
AAA,2013J,M,South Region,Lower Than A Level,70-80%,55<=,0,60,N,Pass,72.0,4007.0
AAA,2013J,M,West Midlands Region,A Level or Equivalent,60-70%,55<=,0,60,N,Distinction,81.2,7288.0
AAA,2013J,F,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,76.4,3004.0
AAA,2013J,F,South West Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,61.8,1357.0
AAA,2013J,M,North Western Region,HE Qualification,40-50%,35-55,0,60,N,Pass,77.2,1216.0
AAA,2013J,F,East Anglian Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,72.0,870.0
AAA,2013J,M,South West Region,A Level or Equivalent,80-90%,35-55,0,180,N,Withdrawn,59.75,1980.0
AAA,2013J,F,West Midlands Region,HE Qualification,90-100%,35-55,0,60,N,Pass,68.0,3098.0
AAA,2013J,M,South Region,HE Qualification,90-100%,35-55,0,60,N,Pass,56.6,5988.0
AAA,2013J,F,London Region,Lower Than A Level,30-40%,35-55,0,60,N,Pass,70.0,1896.0
AAA,2013J,M,Scotland,HE Qualification,80-90%,55<=,0,60,N,Pass,82.6,1695.0
AAA,2013J,M,Yorkshire Region,A Level or Equivalent,20-30%,35-55,0,60,N,Withdrawn,65.5,641.0
AAA,2013J,M,West Midlands Region,A Level or Equivalent,70-80%,35-55,0,60,N,Fail,35.0,240.0
AAA,2013J,F,East Midlands Region,HE Qualification,30-40%,35-55,0,60,N,Pass,75.2,910.0
AAA,2013J,F,Yorkshire Region,A Level or Equivalent,10-20,35-55,0,120,N,Fail,59.0,1907.0
AAA,2013J,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,Withdrawn,0.0,0.0
AAA,2013J,M,West Midlands Region,HE Qualification,40-50%,35-55,0,120,N,Pass,81.8,3460.0
AAA,2013J,F,East Anglian Region,Lower Than A Level,40-50%,35-55,0,60,Y,Fail,61.6,939.0
AAA,2013J,M,London Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,61.8,3493.0
AAA,2013J,F,South East Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,73.0,4202.0
AAA,2013J,M,London Region,Lower Than A Level,90-100%,35-55,0,60,N,Pass,79.6,723.0
AAA,2013J,M,South Region,HE Qualification,90-100%,35-55,0,60,N,Fail,77.5,998.0
AAA,2013J,M,North Western Region,A Level or Equivalent,60-70%,35-55,0,60,N,Distinction,84.6,6025.0
AAA,2013J,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,85.0,5061.0
AAA,2013J,F,North Western Region,Lower Than A Level,50-60%,35-55,0,60,N,Withdrawn,68.0,643.0
AAA,2013J,F,Scotland,HE Qualification,40-50%,35-55,0,60,N,Pass,78.2,2756.0
AAA,2013J,M,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,83.8,1759.0
AAA,2013J,M,South Region,Lower Than A Level,30-40%,35-55,0,75,N,Withdrawn,61.0,2756.0
AAA,2013J,F,Scotland,A Level or Equivalent,10-20,35-55,0,60,N,Withdrawn,0.0,0.0
AAA,2013J,M,South East Region,HE Qualification,70-80%,55<=,0,60,N,Pass,66.2,7057.0
AAA,2013J,M,Ireland,HE Qualification,,35-55,0,60,N,Pass,76.8,1443.0
AAA,2013J,M,Scotland,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,77.4,459.0
AAA,2013J,M,South West Region,Lower Than A Level,40-50%,35-55,0,60,N,Pass,71.0,6518.0
